Airport_A,Airport_B,Count,Month,A_IATA,A_Name,A_City,A_State,A_Country,A_Elevation,A_Lat,A_Lon,A_TZ,B_IATA,B_Name,B_City,B_State,B_Country,B_Elevation,B_Lat,B_Lon,B_TZ
LBBG,LIRF,227,2025-01,BOJ,Burgas Airport,Burgas,Burgas,BG,135,42.5695991516,27.5151996613,Europe/Sofia,FCO,Leonardo Da Vinci (Fiumicino) International Airport,Rome,Latium,IT,15,41.8045005798,12.2508001328,Europe/Rome
EBBR,LBBG,370,2025-01,BRU,Brussels Airport,Brussels,Flanders,BE,184,50.9014015198,4.4844398499,Europe/Brussels,BOJ,Burgas Airport,Burgas,Burgas,BG,135,42.5695991516,27.5151996613,Europe/Sofia
LBBG,LSGG,223,2025-01,BOJ,Burgas Airport,Burgas,Burgas,BG,135,42.5695991516,27.5151996613,Europe/Sofia,GVA,Geneva Cointrin International Airport,Geneva,Geneva,CH,1411,46.2380981445,6.1089501381,Europe/Paris
OMAA,VOHS,262,2025-01,AUH,Abu Dhabi International Airport,Abu Dhabi,Abu-Dhabi,AE,88,24.4330005646,54.6511001587,Asia/Dubai,HYD,Rajiv Gandhi International Airport Shamshabad,Hyderabad,Telangana,IN,2024,17.2313175201,78.4298553467,Asia/Kolkata
MMMX,MMUN,1713,2025-01,MEX,Licenciado Benito Juarez International Airport,Mexico City,Mexico-City,MX,7316,19.4363002777,-99.0720977783,America/Mexico_City,CUN,Cancun International Airport,Cancun,Quintana-Roo,MX,22,21.0365009308,-86.8770980835,America/Cancun
KORD,MMMX,381,2025-01,ORD,Chicago O'Hare International Airport,Chicago,Illinois,US,672,41.97859955,-87.90480042,America/Chicago,MEX,Licenciado Benito Juarez International Airport,Mexico City,Mexico-City,MX,7316,19.4363002777,-99.0720977783,America/Mexico_City
KLAS,MMMX,158,2025-01,LAS,Harry Reid International Airport,Las Vegas,Nevada,US,2181,36.08010101,-115.1520004,America/Los_Angeles,MEX,Licenciado Benito Juarez International Airport,Mexico City,Mexico-City,MX,7316,19.4363002777,-99.0720977783,America/Mexico_City
KHND,MMMX,65,2025-01,HSH,Henderson Executive Airport,Las Vegas,Nevada,US,2492,35.9728012085,-115.1340026855,America/Los_Angeles,MEX,Licenciado Benito Juarez International Airport,Mexico City,Mexico-City,MX,7316,19.4363002777,-99.0720977783,America/Mexico_City
YMEN,YMEN,1386,2025-01,MEB,Melbourne Essendon Airport,,Victoria,AU,282,-37.728099823,144.9019927979,Australia/Melbourne,MEB,Melbourne Essendon Airport,,Victoria,AU,282,-37.728099823,144.9019927979,Australia/Melbourne
LFPB,SBGR,93,2025-01,LBG,Paris-Le Bourget Airport,Paris,Ile-de-France,FR,218,48.9693984985,2.4413900375,Europe/Paris,GRU,Guarulhos - Governador Andre Franco Montoro International Airport,Sao Paulo,Sao Paulo,BR,2459,-23.4355564117,-46.4730567932,America/Sao_Paulo
LFPG,SBGR,93,2025-01,CDG,Charles de Gaulle International Airport,Paris,Ile-de-France,FR,392,49.0127983093,2.5499999523,Europe/Paris,GRU,Guarulhos - Governador Andre Franco Montoro International Airport,Sao Paulo,Sao Paulo,BR,2459,-23.4355564117,-46.4730567932,America/Sao_Paulo
LFPB,RJTT,76,2025-01,LBG,Paris-Le Bourget Airport,Paris,Ile-de-France,FR,218,48.9693984985,2.4413900375,Europe/Paris,HND,Tokyo International Airport,Tokyo,Tokyo,JP,35,35.5522994995,139.7799987793,Asia/Tokyo
KJFK,LFPB,231,2025-01,JFK,John F Kennedy International Airport,New York,New York,US,13,40.63980103,-73.77890015,America/New_York,LBG,Paris-Le Bourget Airport,Paris,Ile-de-France,FR,218,48.9693984985,2.4413900375,Europe/Paris
KJFK,LFPG,245,2025-01,JFK,John F Kennedy International Airport,New York,New York,US,13,40.63980103,-73.77890015,America/New_York,CDG,Charles de Gaulle International Airport,Paris,Ile-de-France,FR,392,49.0127983093,2.5499999523,Europe/Paris
LFPG,WSSS,39,2025-01,CDG,Charles de Gaulle International Airport,Paris,Ile-de-France,FR,392,49.0127983093,2.5499999523,Europe/Paris,SIN,Singapore Changi International Airport,Singapore,North-East,SG,22,1.3501900434,103.9940032959,Asia/Singapore
KSFO,LFPG,32,2025-01,SFO,San Francisco International Airport,San Francisco,California,US,13,37.6189994812,-122.375,America/Los_Angeles,CDG,Charles de Gaulle International Airport,Paris,Ile-de-France,FR,392,49.0127983093,2.5499999523,Europe/Paris
KSFO,LFPB,47,2025-01,SFO,San Francisco International Airport,San Francisco,California,US,13,37.6189994812,-122.375,America/Los_Angeles,LBG,Paris-Le Bourget Airport,Paris,Ile-de-France,FR,218,48.9693984985,2.4413900375,Europe/Paris
KHHR,LFPG,79,2025-01,HHR,Jack Northrop Field Hawthorne Municipal Airport,Hawthorne,California,US,66,33.9227981567,-118.3349990845,America/Los_Angeles,CDG,Charles de Gaulle International Airport,Paris,Ile-de-France,FR,392,49.0127983093,2.5499999523,Europe/Paris
KHHR,LFPB,121,2025-01,HHR,Jack Northrop Field Hawthorne Municipal Airport,Hawthorne,California,US,66,33.9227981567,-118.3349990845,America/Los_Angeles,LBG,Paris-Le Bourget Airport,Paris,Ile-de-France,FR,218,48.9693984985,2.4413900375,Europe/Paris
LFPG,RJTT,59,2025-01,CDG,Charles de Gaulle International Airport,Paris,Ile-de-France,FR,392,49.0127983093,2.5499999523,Europe/Paris,HND,Tokyo International Airport,Tokyo,Tokyo,JP,35,35.5522994995,139.7799987793,Asia/Tokyo
KIAD,LFPB,70,2025-01,IAD,Washington Dulles International Airport,Dulles,Virginia,US,312,38.94449997,-77.45580292,America/New_York,LBG,Paris-Le Bourget Airport,Paris,Ile-de-France,FR,218,48.9693984985,2.4413900375,Europe/Paris
KIAD,LFPG,62,2025-01,IAD,Washington Dulles International Airport,Dulles,Virginia,US,312,38.94449997,-77.45580292,America/New_York,CDG,Charles de Gaulle International Airport,Paris,Ile-de-France,FR,392,49.0127983093,2.5499999523,Europe/Paris
